ch1,ch2,count
-,F,1
-,J,1
-,L,1
-,M,1
?,e,2
?,r,1
A,a,6
A,b,1
A,d,6
A,f,2
A,g,2
A,i,2
A,k,1
A,l,27
A,m,8
A,n,65
A,p,2
A,r,14
A,s,5
A,u,4
A,y,7
A,z,1
A,ï,1
B,a,10
B,e,26
B,i,5
B,o,5
B,r,9
B,ü,1
C,a,18
C,e,6
C,h,23
C,i,2
C,l,7
C,o,11
C,y,1
C,é,2
D,a,11
D,e,15
D,i,18
D,o,10
D,u,1
D,y,1
D,é,1
E,b,1
E,d,1
E,e,3
E,g,2
E,i,1
E,l,35
E,m,8
E,n,2
E,r,4
E,s,10
E,u,2
E,v,13
F,a,14
F,e,11
F,i,5
F,l,9
F,o,2
F,r,22
G,a,5
G,e,39
G,h,1
G,i,7
G,l,2
G,o,4
G,r,6
G,u,2
G,w,2
H,a,22
H,e,35
H,i,15
H,u,7
H,é,1
H,ü,1
I,J,2
I,d,1
I,e,1
I,k,1
I,l,6
I,m,2
I,n,12
I,r,8
I,s,5
I,v,3
I,z,1
J,a,43
J,e,24
J,i,6
J,m,1
J,o,35
J,t,1
J,u,10
K,a,18
K,e,2
K,h,1
K,i,8
K,l,8
K,o,1
K,r,4
K,y,2
K,ü,1
L,a,20
L,e,21
L,i,37
L,o,17
L,u,9
L,y,3
M,a,122
M,e,19
M,i,23
M,o,5
M,u,2
M,y,6
N,a,18
N,e,5
N,i,19
N,o,10
N,y,1
O,d,2
O,l,2
O,u,1
P,a,11
P,e,5
P,h,2
P,i,8
P,l,2
P,r,1
P,u,2
Q,u,3
R,a,9
R,e,10
R,i,12
R,o,34
R,u,2
R,y,1
S,a,31
S,e,9
S,h,11
S,i,16
S,j,2
S,o,9
S,t,9
S,u,9
S,y,4
T,a,11
T,e,8
T,h,10
T,i,8
T,j,1
T,o,2
T,r,4
U,r,1
V,a,4
V,e,5
V,i,6
V,é,1
W,a,2
W,e,4
W,h,1
W,i,20
W,o,2
W,y,1
Y,a,6
Y,e,1
Y,f,1
Y,m,1
Y,o,3
Y,v,2
Z,a,2
Z,e,2
Z,o,2
Z,w,1
a,a,16
a,b,25
a,c,16
a,d,18
a,e,7
a,f,4
a,g,4
a,h,10
a,i,19
a,j,3
a,k,3
a,l,33
a,m,26
a,n,176
a,o,4
a,p,2
a,q,1
a,r,170
a,s,28
a,t,41
a,u,17
a,v,1
a,w,1
a,x,1
a,y,16
a,z,3
a,ï,2
a,.,582
b,a,4
b,b,2
b,e,42
b,i,13
b,j,1
b,k,1
b,n,1
b,o,3
b,r,8
b,s,1
b,y,3
c,a,16
c,c,1
c,e,15
c,h,28
c,i,20
c,k,5
c,l,1
c,o,11
c,q,3
c,r,1
c,t,1
c,y,3
d,a,54
d,e,35
d,g,1
d,i,38
d,j,3
d,m,1
d,o,5
d,r,16
d,s,2
d,t,1
d,u,1
d,w,2
d,y,13
d,é,1
d,.,12
e,-,4
e,a,22
e,b,7
e,c,14
e,d,13
e,e,23
e,f,10
e,g,9
e,h,1
e,i,18
e,k,32
e,l,120
e,m,29
e,n,152
e,o,11
e,p,7
e,r,126
e,s,39
e,t,86
e,u,11
e,v,5
e,w,2
e,x,1
e,y,18
e,z,3
e,.,529
f,a,4
f,e,2
f,f,2
f,i,10
f,j,3
f,k,4
f,r,3
f,.,2
g,a,13
g,b,2
g,d,2
g,e,18
g,g,1
g,h,1
g,i,13
g,j,14
g,m,1
g,n,1
g,o,5
g,r,7
g,u,3
g,y,1
g,é,1
g,.,2
h,a,61
h,e,37
h,i,23
h,k,1
h,l,3
h,m,1
h,n,3
h,o,1
h,r,12
h,t,3
h,y,1
h,è,1
h,é,1
h,.,17
i,a,92
i,b,6
i,c,34
i,d,23
i,e,155
i,f,5
i,g,17
i,h,3
i,j,41
i,k,26
i,l,63
i,m,21
i,n,209
i,o,4
i,p,2
i,q,11
i,r,29
i,s,54
i,t,40
i,v,6
i,x,2
i,z,10
i,ë,13
i,.,18
j,a,19
j,d,1
j,e,136
j,g,1
j,i,1
j,k,4
j,n,22
j,o,8
j,s,6
j,t,4
j,.,1
k,a,25
k,e,79
k,i,9
k,j,20
k,k,4
k,o,1
k,r,1
k,y,3
k,.,13
l,a,70
l,b,6
l,d,14
l,e,89
l,f,3
l,g,2
l,h,4
l,i,116
l,j,2
l,k,5
l,l,66
l,m,9
l,o,27
l,s,12
l,t,9
l,v,7
l,y,15
l,z,1
l,è,3
l,é,1
l,.,26
m,a,48
m,b,6
m,e,14
m,g,1
m,i,40
m,k,9
m,l,1
m,m,8
m,o,4
m,p,5
m,t,1
m,y,7
m,é,4
m,.,15
n,a,189
n,c,12
n,d,57
n,e,174
n,g,17
n,i,65
n,j,6
n,k,12
n,n,116
n,o,14
n,r,8
n,s,7
n,t,57
n,u,2
n,y,13
n,ç,1
n,é,1
n,.,100
o,a,5
o,b,6
o,c,1
o,d,4
o,e,13
o,f,3
o,h,3
o,i,4
o,k,2
o,l,34
o,m,10
o,n,52
o,o,6
o,p,2
o,r,47
o,s,30
o,t,7
o,u,35
o,v,2
o,w,2
o,x,1
o,y,2
o,z,4
o,ë,5
o,ï,1
o,.,4
p,h,12
p,i,1
p,j,3
p,k,2
p,o,2
p,p,1
p,.,2
q,u,15
r,a,80
r,b,3
r,c,5
r,d,26
r,e,57
r,g,24
r,h,1
r,i,166
r,j,10
r,k,5
r,l,23
r,m,16
r,n,13
r,o,17
r,r,16
r,s,3
r,t,52
r,u,11
r,v,1
r,w,1
r,y,7
r,z,3
r,è,2
r,é,5
r,.,17
s,a,41
s,b,6
s,c,10
s,e,30
s,h,6
s,i,22
s,j,13
s,k,25
s,l,2
s,m,15
s,r,3
s,s,18
s,t,26
s,u,1
s,w,1
s,y,3
s,é,3
s,.,28
t,a,45
t,d,1
t,e,61
t,h,47
t,i,48
t,j,81
t,l,2
t,m,1
t,n,2
t,o,7
t,r,15
t,s,11
t,t,48
t,u,1
t,y,5
t,é,1
t,ü,1
t,.,22
u,a,5
u,b,7
u,c,9
u,d,12
u,e,17
u,g,3
u,i,13
u,k,10
u,l,12
u,m,3
u,n,10
u,p,1
u,r,16
u,s,13
u,t,5
u,u,5
u,w,4
u,z,4
u,.,8
v,a,6
v,e,14
v,g,1
v,i,14
v,o,2
v,y,2
v,.,1
w,a,4
w,e,4
w,i,6
w,k,2
x,a,2
x,i,1
x,t,1
x,.,1
y,?,1
